brand,categories,name,reviews.rating,reviews.date
Amazon,Amazon Devices,Certified Refurbished Kindle Paperwhite E-reader - Black,5.0,2017-05-29 00:00:00+00:00
Amazon,Amazon Devices,Certified Refurbished Kindle Paperwhite E-reader - Black,5.0,2015-07-01 00:00:00+00:00
Amazon,Amazon Devices,Certified Refurbished Kindle Paperwhite E-reader - Black,5.0,
Amazon,Amazon Devices,Kindle Oasis with Leather Charging Cover - Black,5.0,2016-05-03 00:00:00+00:00
Amazon,Amazon Devices,Kindle Oasis with Leather Charging Cover - Black,5.0,
Amazon,Amazon Devices,Kindle Oasis with Leather Charging Cover - Black,2.0,
Amazon,Amazon Devices,Fire HDX 8.9 Tablet,5.0,
Amazon,Amazon Devices,Fire HDX 8.9 Tablet,3.0,2014-10-29 00:00:00+00:00
Amazon,Amazon Devices,Fire HDX 8.9 Tablet,5.0,
Amazon,Amazon Devices,Kindle Oasis E-reader with Leather Charging Cover - Walnut,5.0,
Amazon,Amazon Devices,Kindle Oasis E-reader with Leather Charging Cover - Walnut,5.0,
Amazon,Amazon Devices,Kindle Oasis E-reader with Leather Charging Cover - Walnut,3.0,2016-04-29 00:00:00+00:00
Amazon,Amazon Devices,Kindle Oasis E-reader with Leather Charging Cover - Walnut,5.0,2016-05-09 00:00:00+00:00
Amazon,Amazon Devices,Kindle E-reader - Black,5.0,2016-08-08 00:00:00+00:00
Amazon,Amazon Devices,Kindle E-reader - Black,5.0,2016-07-12 00:00:00+00:00
Amazon,Amazon Devices,Kindle E-reader - Black,5.0,
Amazon,Amazon Devices,Kindle E-reader - Black,5.0,2016-07-13 00:00:00+00:00
Amazon,Amazon Devices,Kindle E-reader - Black,5.0,2016-11-21 00:00:00+00:00
Amazon,Amazon Devices,Kindle E-reader - Black,5.0,2016-08-28 00:00:00+00:00
Amazon,Amazon Devices,Certified Refurbished Kindle Voyage E-reader with Special Offers,5.0,
Amazon,Amazon Devices,Certified Refurbished Kindle Voyage E-reader with Special Offers,5.0,2014-10-23 00:00:00+00:00
Amazon,Amazon Devices,Certified Refurbished Kindle Voyage E-reader with Special Offers,3.0,2014-10-22 00:00:00+00:00
Amazon,Amazon Devices,Certified Refurbished Echo Dot (2nd Generation) - Black,5.0,2017-05-06 00:00:00+00:00
